 Banque Pasche SA, Banque Pasche SA
Aargauische Kantonalbank,Aargauische Kantonalbank
"Aegerion
  Pharmaceuticals copy",Aegerion Pharmaceuticals
AFFAIRE HSBC PRIVATE BANK (SUISSE) SA,HSBC
AFFAIRE SAS KAEFFER WANNER,
AFFAIRE SAS POUJAUD,
AFFAIRE SAS SET ENVIRONNEMENT,
"Akamai
  Technologies, Inc. ",Akamai Technologies
Alcatel  Lucent,Alcatel Lucent SA
ARVEST Privatbank AG,ARVEST Privatbank AG
"Banamex
  USA (Citigroup)",Banamex USA (Citigroup)
Banca Credinvest SA,Banca Credinvest SA
Banca dello Stato del Cantone Ticino,Banca dello Stato del Cantone Ticino
"Banca Intermobiliare di Investimenti e
  Gestioni (Suisse) SA",Banca Intermobiliare di Investimenti e Gestioni (Suisse) SA
"Bank
  Lombard Odier & Co Ltd.",Bank Lombard Odier & Co Ltd
Bank  Lombard Odier & Co Ltd.,Bank Lombard Odier & Co Ltd
Bank CIC,Bank CIC
Bank Coop AG,Bank Coop AG
Bank EKI Genossenschaft,Bank EKI Genossenschaft
Bank J. Safra Sarasin AG,Bank J. Safra Sarasin AG
Bank La Roche & Co AG,Bank La Roche & Co AG
Bank Linth LLB AG,Bank Linth LLB AG
Bank Lombard Odier & Co Ltd,Bank Lombard Odier & Co Ltd
Bank Sparhafen Zurich AG,Bank Sparhafen Zurich AG
Bank Zweiplus Ag,Bank Zweiplus Ag
Banque Bonhôte & Cie SA,Banque Bonhôte & Cie SA
Banque Cantonal du Valais,Banque Cantonal du Valais
Banque Cantonale du Jura SA,Banque Cantonale du Jura SA
Banque Cantonale Neuchâteloise,Banque Cantonale Neuchâteloise
Banque Cantonale Vaudoise,Banque Cantonale Vaudoise
Banque Heritage S.A.,Banque Heritage S.A.
Banque Internationale à Luxembourg SA,Banque Internationale à Luxembourg (Suisse) SA
"Basler
  Kantonalbank",Basler Kantonalbank
"Baumann & Cie, Banquiers","Banquiers,Baumann & Cie"
"Baxter
  Healthcare",Baxter Healthcare
Baystar Capital Managment,Baystar Capital Management 
BBVA Suiza S.A.,BBVA
Berner Kantonalbank AG,Berner Kantonalbank AG
BHF-Bank (Schweiz) AG,BHF-Bank (Schweiz) AG
"BK
  Medical ApS",BK Medical ApS
BNP Paribas,BNP PARIBAS
BNP Paribas (Suisse) SA,BNP PARIBAS
BNP Parisbas ,BNP PARIBAS
Bordier & Cie Switzerland,Bordier & Cie Switzerland
"Breakthru
  Beverage Pennsylvania",Breakthru Beverage Pennsylvania
BSI SA,BSI SA
"Central
  States Capital Markets, LLC",Central States Capital Markets
CommerceWest Bank,CommerceWest Bank
Commerzbank A.G,Commerzbank AG
Cornèr Banca SA,Cornèr Banca SA
"Corning
  Incorporated",Corning Incorporated
Coutts & Co Ltd,Coutts & Co Ltd
"Credit
  Suisse (Hong Kong) Limited",Credit Suisse
Crédit Agricole (Suisse) SA,Crédit Agricole
Crédit Agricole Corporate and Investment Bank,Crédit Agricole
"Credito Privato Commerciale in
  liquidazione SA",Credito Privato Commerciale in liquidazione SA
"Cultural
  Resource Analysts, Inc.",Cultural Resource Analysts
Curvature LLC,Curvature LLC
"DAXC,
  LLC",DAXC
"Dennis
  Corporation",Dennis Corporation
Deutsche Bank,Deutsche Bank
Deutsche Bank (Suisse) SA,Deutsche Bank (Suisse) SA
"Dreyfus Sons & Co Ltd, Banquiers","Banquiers,Dreyfus Sons & Co Ltd"
DZ Privatbank (Schweiz) AG  ,DZ Privatbank (Schweiz) AG
"E. Gutzwiller & Cie, Banquiers","Banquiers,E. Gutzwiller & Cie"
"Edmond de Rothschild (Suisse) SA and
  Edmond de Rothschild (Lugano) SA",Edmond de Rothschild (Suisse) SA and Edmond de Rothschild (Lugano) SA
"EFG Bank European Financial Group SA,
  Geneva, and EFG Bank AG","EFG Bank AG,EFG Bank,EFG Bank European Financial Group SA"
Ersparniskasse Schaffhausen AG,Ersparniskasse Schaffhausen AG
Falcon Private Bank AG,Falcon Private Bank AG
Finter Bank Zurich,Finter Bank Zurich
Gonet & Cie,Gonet & Cie
Graubündner Kantonalbank,Graubündner Kantonalbank
Habib Bank AG Zurich (HBZ),Habib Bank AG Zurich (HBZ)
"Hallman
  Chevrolet",Hallman Chevrolet
"Health
  Management Associates, LLC",Health Management Associates
"HSBC
  Holdings plc",HSBC
HSBC Holdings Plc and HSBC USA,HSBC
"HSZH
  Verwaltungs AG",HSZH Verwaltungs AG
HSZH Verwaltungs AG,HSZH Verwaltungs AG
Hyposwiss Private Bank Genève S.A.,Hyposwiss Private Bank Genève S.A.
Hypothekarbank Lenzburg AG,Hypothekarbank Lenzburg AG
"Imagina
  Media Audiovisual SL",Imagina Media Audiovisual SL
KBL (Switzerland) Ltd.,KBL (Switzerland) Ltd.
"Keppel
  Offshore & Marine LTD",Keppel Offshore & Marine LTD
"Las
  Vegas Sands Corp.",Las Vegas Sands Corp.
LBBW (Schweiz) AG,LBBW (Schweiz) AG
"Legg
  Mason, Inc.",Legg Mason
"Leodan
  Privatbank AG",Leodan Privatbank AG
Leodan Privatbank AG,Leodan Privatbank AG
Luzerner Kantonalbank AG,Luzerner Kantonalbank AG
M&T Bank,M&T Bank
Maerki Baumann & Co. AG,Maerki Baumann & Co. AG
Maxim Healthcare Services,Maxim Healthcare Services 
MediBank AG,MediBank AG
Mercantil Bank (Schweiz) AG,Mercantil Bank (Schweiz) AG
Migros Bank AG,Migros Bank AG
"Mirelis
  Holding S.A.",Mirelis Holding
Mirelis Holding,Mirelis Holding
Mizrahi-Tefahot Bank LTD,Mizrahi-Tefahot Bank
"Netcracker
  Technology Corporation",Netcracker Technology Corporation
"Neue
  Privat Bank AG",Neue Privat Bank AG
Nidwaldner Kantonalbank,Nidwaldner Kantonalbank
"Nortek,
  Inc.",Nortek
NPB Neue Privat Bank ,NPB Neue Privat Bank
"Olympus
  Latin America, Inc.",Olympus Latin America
"Panasonic
  Avionics Corporation",Panasonic Avionics Corporation
"Parametric
  Technology (Shanghai) Software Co. Ltd. and Parametric Technology (Hong Kong)
  Limited",Parametric Technology (Shanghai) Software Co. Ltd. and Parametric Technology (Hong Kong) Limited
PBZ Verwaltungs AG,PBZ Verwaltungs AG
"PDQ
  Imaging Services, LLC",PDQ Imaging Services
"Petróleo
  Brasileiro S.A. – Petrobras",Petróleo Brasileiro S.A. – Petrobras
"Pharmaceutical
  Technologies, Inc.",Pharmaceutical Technologies
Piguet Galland & Cie SA,Piguet Galland & Cie SA
"Pio
  Imports, LLC",Pio Imports
PKB Privatbank AG,PKB Privatbank AG
PostFinance AG,PostFinance AG
"Prime
  Partners SA",Prime Partners SA
Privatbank Bellerive AG,Privatbank Bellerive AG
Privatbank IHAG Zürich AG,Privatbank IHAG Zürich AG
Privatbank Reichmuth & Co.,Privatbank Reichmuth & Co.
Privatbank Von Graffenried AG,Privatbank Von Graffenried AG
Rabobank,Rabobank
"RBS
  Securities Inc.",RBS Securities Inc.
RBS VN (ABN AMRO),RBS VN ( ABN AMRO)
"Red
  Cedar Services, Inc.",Red Cedar Services
"Rite
  Aid Corporation",Rite Aid Corporation
Rothschild Bank AG,Rothschild Bank AG
"Santee
  Financial Services, Inc.",Santee Financial Services
SB Saanen Bank AG,SB Saanen Bank AG
"SBM
  Offshore N.V.",SBM Offshore N.V.
Schaffhauser Kantonalbank,Schaffhauser Kantonalbank
Schroder & Co. Bank AG,Schroder & Co. Bank AG
Scobag Privatbank AG,Scobag Privatbank AG
SGA,Société Générale S.A.
"Sociedad
  Quimica y Minera de Chile, S.A.",Sociedad Quimica y Minera de Chile
"Société
  Générale S.A.",Société Générale S.A.
"Société Générale Private Banking
  (Lugano-Svizzera)",Société Générale S.A.
"Société Générale Private Banking (Suisse)
  SA",Société Générale S.A.
Société Générale S.A.,Société Générale S.A.
Société Générale SA ,Société Générale S.A.
St. Galler Kantonalbank AG,St. Galler Kantonalbank AG
Standard Chartered Bank,Standard Chartered Bank
Standard Chartered Bank (Switzerland) SA,Standard Chartered Bank
Standard Chartered Bank 2019 DPA (amendment of 2012 DPA),Standard Chartered Bank
"State
  Street Corporation",State Street Corporation
"Telia
  Company AB",Telia Company AB
"Transport
  Logistics International, Inc.",Transport Logistics International
"U.S.
  Bancorp",U.S. Bancorp
UBS,UBS
UBS,UBS
UBS,UBS
UniCredit Bank Austria AG ,UniCredit Bank
"Union
  Bancaire Privée, UBP SA","UBP SA,Union Bancaire Privée"
"Union Bancaire Privée, UBP SA","UBP SA,Union Bancaire Privée"
"Utah
  Transit Authority",Utah Transit Authority
Vadian Bank AG,Vadian Bank AG
Valiant Bank AG,Valiant Bank AG
"VimpelCom
  Limited and Unitel Limited LLC",VimpelCom Limited and Unitel Limited LLC
"Waste
  Management Texas",Waste Management Texas
"Western
  Union Company, The",Western Union Company
"White
  Rock Distilleries, Inc.",White Rock Distilleries
"Wright
  State University",Wright State University
Zuger Kantonalbank,Zuger Kantonalbank
"Zürcher
  Kantonalbank",Zürcher Kantonalbank
